"5555402","HN357841","05/22/2007 01:00:00 AM","061XX S ST LAWRENCE AVE","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","NEWSSTAND","false","false","0313","003","20","42","04A","1181289","1864524","2007","04/15/2016 08:55:02 AM","41.783495037","-87.610872164","(41.783495037, -87.610872164)"
"5555408","HN359203","05/22/2007 11:27:36 PM","064XX S EBERHART AVE","0560","ASSAULT","SIMPLE","SIDEWALK","true","true","0312","003","20","42","08A","1180687","1862358","2007","04/15/2016 08:55:02 AM","41.777565183","-87.613145793","(41.777565183, -87.613145793)"
"5556960","HN364969","05/25/2007 06:48:00 PM","062XX S ST LAWRENCE AVE","0560","ASSAULT","SIMPLE","RESIDENCE PORCH/HALLWAY","false","false","0313","003","20","42","08A","1181307","1863799","2007","04/15/2016 08:55:02 AM","41.781505154","-87.610828505","(41.781505154, -87.610828505)"
"5564072","HN370776","05/28/2007 10:17:47 PM","063XX S EGGLESTON AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","STREET","true","false","0722","007","20","68","04A","1174357","1863050","2007","04/15/2016 08:55:02 AM","41.779607237","-87.636330923","(41.779607237, -87.636330923)"
"5564827","HN372569","05/29/2007 06:30:00 PM","061XX S NORMAL BLVD","0560","ASSAULT","SIMPLE","SIDEWALK","false","false","0711","007","20","68","08A","1174019","1864014","2007","04/15/2016 08:55:02 AM","41.782260071","-87.637541471","(41.782260071, -87.637541471)"
"5566391","HN373965","05/30/2007 11:30:00 AM","063XX S STEWART AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","SCHOOL, PUBLIC, BUILDING","false","false","0722","007","20","68","08A","1174715","1862826","2007","04/15/2016 08:55:02 AM","41.778984586","-87.635025125","(41.778984586, -87.635025125)"
"5579585","HN387466","06/05/2007 10:38:00 PM","064XX S DR MARTIN LUTHER KING JR DR","0560","ASSAULT","SIMPLE","APARTMENT","false","false","0312","003","20","69","08A","1180027","1862405","2007","04/15/2016 08:55:02 AM","41.777709298","-87.615563898","(41.777709298, -87.615563898)"
"5585803","HN390437","06/07/2007 12:34:06 PM","063XX S STEWART AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","SCHOOL, PUBLIC, BUILDING","false","false","0722","007","20","68","08A","1174715","1862826","2007","04/15/2016 08:55:02 AM","41.778984586","-87.635025125","(41.778984586, -87.635025125)"
"5585819","HN390530","06/07/2007 02:34:02 PM","062XX S STEWART AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","SCHOOL, PUBLIC, BUILDING","false","false","0711","007","20","68","08A","1174692","1863689","2007","04/15/2016 08:55:02 AM","41.781353265","-87.635083754","(41.781353265, -87.635083754)"
"5586340","HN392091","06/06/2007 04:30:00 PM","064XX S DR MARTIN LUTHER KING JR DR","0560","ASSAULT","SIMPLE","STREET","false","false","0312","003","20","69","08A","1180028","1862364","2007","04/15/2016 08:55:02 AM","41.777596767","-87.615561486","(41.777596767, -87.615561486)"
